,idk,number,adress,zipcode,city,idk3,lat,long
21650,770600055Y-88,88,Rue des Roches,77760,Buthiers,OSM,48.29452,2.43019
21651,770600020K-5358,5358,Route d'Auxy,77760,Buthiers,C+O,48.293902,2.436316
21652,770600055Y-73,73,Rue des Roches,77760,Buthiers,OSM,48.29179,2.438126
21663,77041B087X-5001,5001,La Pigeonnerie,77760,Boissy-aux-Cailles,CAD,48.292955,2.497584
21670,770030160K-21,21,Rue du Vieux Puits,77760,Amponville,C+O,48.295072,2.524937
21671,770030160K-5,5,Rue du Vieux Puits,77760,Amponville,C+O,48.293321999999996,2.52662
21673,77003B058F-5116B,5116B,La Roche aux Sages,77760,Amponville,CAD,48.290971,2.538321
21674,77003B058F-5B,5BIS,La Roche aux Sages,77760,Amponville,CAD,48.290828000000005,2.538842
21686,772440030W-5158A,5158A,Chemin des Bardins,77760,Larchant,C+O,48.287425,2.595657
21687,77244B044T-5253,5253,La Claie,77760,Larchant,CAD,48.293203999999996,2.6019490000000003
21699,775200300P-5267,5267,Rue de Nemours,77760,Villiers-sous-Grez,C+O,48.312796999999996,2.653525
21704,77216B044P-5440,5440,Parc du Pavillon,77880,Grez-sur-Loing,CAD,48.296282,2.681955
21706,77216B044P-5017,5017,Parc du Pavillon,77880,Grez-sur-Loing,CAD,48.296312,2.682251
21707,772160460K-4,4,Chemin du Moulin Rouge,77880,Grez-sur-Loing,C+O,48.291916,2.69307
21708,773020045K-1,1,Impasse de l'Ecluse,77140,Montcourt-Fromonville,CAD,48.292966,2.6952130000000003
21709,773020236T-36,36,Avenue des Rougemonts,77140,Montcourt-Fromonville,C+O,48.295111,2.7000830000000002
21714,77302B051Y-5282,5282,Pleignes,77140,Montcourt-Fromonville,CAD,48.304935,2.724872
21722,77340B028H-5183,5183,Les Hautes Renardieres,77140,Nonville,CAD,48.299054,2.761422
21723,77340B036S-5188,5188,Les Petits Glands,77140,Nonville,CAD,48.295839,2.767731
21724,773400040P-28B,28BIS,Rue de Cherelles,77140,Nonville,C+O,48.293622,2.769961
21725,773400040P-13,13,Rue de Cherelles,77140,Nonville,C+O,48.293779,2.7743830000000003
21726,773400040P-8,8,Rue de Cherelles,77140,Nonville,C+O,48.293079,2.777404
21727,773400100E-72,72,Route de Fontainebleau,77140,Nonville,C+O,48.292293,2.781373
21728,773400020T-5084A,5084A,Rue de Chauville,77140,Nonville,C+O,48.294275,2.7841009999999997
21729,77340B013S-5175,5175,Les Cailloux,77140,Nonville,CAD,48.295853,2.790021
21733,77506B010S-5078,5078,Bois Dainville,77250,Villemer,CAD,48.296414,2.815948
21737,775060040T-5235,5235,Chemin de Bézanleu,77250,Villemer,C+O,48.295259,2.825512
21742,775060464D-6,6,Route du Pimard le Gallois,77250,Villemer,CAD,48.29887,2.850145
21743,775060340U-1,1,Route de Lorrez,77250,Villemer,C+O,48.288261,2.85816
21746,77506B012U-5203,5203,Bois des Buttes,77250,Villemer,CAD,48.298517,2.868156
21750,771610040T-1,1,Ham de la Bikade,77130,Dormelles,CAD,48.301193,2.884547
21751,771610295V-18B,18BIS,Rue de la Mare aux Loups,77130,Dormelles,C+O,48.301519,2.891819
21759,774650405T-5306,5306,Chemin des Processions,77940,Thoury-Férottes,CAD,48.298907,2.938512
21760,774650140E-5293,5293,Rue Charretier,77940,Thoury-Férottes,C+O,48.293521000000005,2.94001
21762,774650200V-31,31,Rue de Flagy,77940,Thoury-Férottes,C+O,48.293077000000004,2.941897
21763,774650480Z-2,2,Rue de Verdun,77940,Thoury-Férottes,C+O,48.292012,2.94519
21764,774650421K-5278,5278,Chemin des Meuniers,77940,Thoury-Férottes,CAD,48.2935,2.9491560000000003
21765,775310193A-88,88,Avenue du Général de Gaulle,77940,Voulx,C+O,48.289336,2.958288
21768,775310280V-57,57,Route de Montmachoux,77940,Voulx,C+O,48.290294,2.973277
21770,775310511W-5,5,Chemin des Ruelles,77940,Voulx,C+O,48.289318,2.975702
21772,771580257S-9,9,Rue Popelin,77940,Diant,CAD,48.298017,2.995086
21774,771580257S-7,7,Rue Popelin,77940,Diant,CAD,48.297816999999995,2.9955540000000003
21780,771580312B-4,4,Rue de la Tasse,77940,Diant,CAD,48.292961,3.020931
22011,910160300K-41,41,Avenue des Pensées,91670,Angerville,C+O,48.302799,1.9961380000000002
22013,91016B071T-9001,9001,Les Terres Neuves,91670,Angerville,CAD,48.298293,2.009798
22024,913900968K-1,1,Route de Saint-Lubin,91660,Le Mérévillois,OSM,48.297652,2.053943
22025,913900160G-16B,16BIS,Rue des Bordes,91660,Le Mérévillois,C+O,48.303395,2.058202
22028,913900780F-10,10,Rue des Pinsons,91660,Le Mérévillois,OSM,48.311698,2.076088
22031,913900350N-23,23,Rue de Courcelles,91660,Le Mérévillois,OSM,48.303256,2.09006
22035,913900352R-18,18,Rue des Crocs au Renard,91660,Le Mérévillois,OSM,48.303825,2.097237
22058,91001B015X-5074,5074,La Ferme de Beauvoir,91150,Abbéville-la-Rivière,CAD,48.340031,2.199684
22083,911370118L-28B,28BIS,Rue Michel de l'Hopital,91150,Champmotteux,C+O,48.341995000000004,2.322489
22095,910690063X-9,9,Rue Prinvaux,91720,Boigneville,C+O,48.32058,2.36869
22105,770600055Y-133B,133BIS,Rue des Roches,77760,Buthiers,C+O,48.297067,2.426338
22106,770600055Y-5350,5350,Rue des Roches,77760,Buthiers,C+O,48.296668,2.428442
22107,770600080A-26,26,Rue du Vieux Puits,77760,Buthiers,C+O,48.29589,2.4376900000000004
22108,770600030W-13,13,Rue de Bel Air,77760,Buthiers,C+O,48.29768,2.438908
22109,770600033Z-53,53,Rue du Château d'Eau,77760,Buthiers,C+O,48.299125,2.442662
22110,770600033Z-88,88,Rue du Château d'Eau,77760,Buthiers,C+O,48.302747,2.445727
22114,770410080H-33,33,Rue de la Libération,77760,Boissy-aux-Cailles,C+O,48.305854,2.469623
22115,770410196J-11,11,Rue des Vignes,77760,Boissy-aux-Cailles,C+O,48.304411,2.4734
22116,770410196J-12,12,Rue des Vignes,77760,Boissy-aux-Cailles,C+O,48.304327,2.474275
22117,770410080H-1,1,Rue de la Libération,77760,Boissy-aux-Cailles,C+O,48.305444,2.478056
22119,770410115W-16,16,Route de Rumont,77760,Boissy-aux-Cailles,C+O,48.294468,2.498253
22125,77003B005Y-5109,5109,La Borguerie,77760,Amponville,CAD,48.299695,2.514822
22126,770030160K-25,25,Rue du Vieux Puits,77760,Amponville,C+O,48.295794,2.524641
